X,Y,Z,Name,Confidence,N frame
3.63452987e+05,5.10842069e+06,1.84669959e+02,information--pedestrians-crossing--g10,.30 ,1414
3.63179307e+05,5.10845314e+06,1.85693640e+02,information--pedestrians-crossing--g10,.40 ,1552
3.63062831e+05,5.10849999e+06,1.85992779e+02,regulatory--yield--g10,.27 ,1619
3.63056146e+05,5.10850896e+06,1.86105662e+02,regulatory--yield--g10,.35 ,1624
3.63040663e+05,5.10854453e+06,1.86715585e+02,regulatory--keep-right--g10,.25 ,1645
3.63036828e+05,5.10854748e+06,1.86817042e+02,regulatory--keep-right--g10,.32 ,1648
3.63035946e+05,5.10854860e+06,1.86855956e+02,information--pedestrians-crossing--g10,.28 ,1649
3.63023762e+05,5.10854766e+06,1.86941094e+02,information--pedestrians-crossing--g10,.61 ,1651
3.63021419e+05,5.10854807e+06,1.86980572e+02,information--pedestrians-crossing--g10,.53 ,1652
3.63018856e+05,5.10854856e+06,1.87033035e+02,information--pedestrians-crossing--g10,.62 ,1653
3.63018878e+05,5.10855003e+06,1.87061181e+02,regulatory--yield--g10.32 information--pedestrians-crossing--g10,.52 ,1654
3.63018878e+05,5.10855003e+06,1.87061181e+02,regulatory--yield--g10.32 information--pedestrians-crossing--g10,.52 ,1654
3.63016818e+05,5.10855056e+06,1.87117011e+02,regulatory--yield--g10,.45 ,1655
3.63014590e+05,5.10855111e+06,1.87177744e+02,regulatory--yield--g10,.42 ,1656
3.63012393e+05,5.10855177e+06,1.87356863e+02,regulatory--yield--g10.30 regulatory--yield--g10,.50 ,1657
3.63012393e+05,5.10855177e+06,1.87356863e+02,regulatory--yield--g10.30 regulatory--yield--g10,.50 ,1657
3.63009826e+05,5.10855231e+06,1.87317620e+02,regulatory--yield--g10,.50 ,1658
3.63007071e+05,5.10855303e+06,1.87548171e+02,regulatory--yield--g10,.54 ,1659
3.63004265e+05,5.10855335e+06,1.87566367e+02,regulatory--yield--g10,.46 ,1660
3.62949483e+05,5.10854956e+06,1.90835094e+02,information--pedestrians-crossing--g10,.43 ,1691
3.62952925e+05,5.10854805e+06,1.87469003e+02,information--pedestrians-crossing--g10,.59 ,1693
nan,nan,nan,information--safety-area--g20,.40 ,1694
nan,nan,nan,information--pedestrians-crossing--g10,.51 ,1695
3.62928830e+05,5.10852249e+06,1.86844816e+02,regulatory--keep-right--g10,.30 ,1713
3.62929244e+05,5.10851444e+06,1.86761361e+02,information--pedestrians-crossing--g10,.46 ,1714
3.62928360e+05,5.10851217e+06,1.86723611e+02,information--pedestrians-crossing--g10,.49 ,1715
3.62925124e+05,5.10852247e+06,1.86840230e+02,regulatory--keep-right--g10.29 regulatory--yield--g10.29 information--pedestrians-crossing--g10,.55 ,1716
3.62925124e+05,5.10852247e+06,1.86840230e+02,regulatory--keep-right--g10.29 regulatory--yield--g10.29 information--pedestrians-crossing--g10,.55 ,1716
3.62925124e+05,5.10852247e+06,1.86840230e+02,regulatory--keep-right--g10.29 regulatory--yield--g10.29 information--pedestrians-crossing--g10,.55 ,1716
3.62926782e+05,5.10850700e+06,1.86601273e+02,information--pedestrians-crossing--g10,.68 ,1717
3.62925600e+05,5.10850502e+06,1.86551013e+02,regulatory--yield--g10,.42 ,1719
3.62924528e+05,5.10850256e+06,1.86494901e+02,regulatory--yield--g10,.50 ,1720
3.62920548e+05,5.10850694e+06,1.86540611e+02,regulatory--yield--g10.34 regulatory--roundabout--g10.36 regulatory--yield--g10,.43 ,1721
3.62920548e+05,5.10850694e+06,1.86540611e+02,regulatory--yield--g10.34 regulatory--roundabout--g10.36 regulatory--yield--g10,.43 ,1721
3.62920548e+05,5.10850694e+06,1.86540611e+02,regulatory--yield--g10.34 regulatory--roundabout--g10.36 regulatory--yield--g10,.43 ,1721
3.62918960e+05,5.10850564e+06,1.86521247e+02,regulatory--yield--g10,.39 ,1722
3.62917696e+05,5.10850553e+06,1.86528603e+02,regulatory--yield--g10.29 regulatory--yield--g10,.32 ,1723
3.62917696e+05,5.10850553e+06,1.86528603e+02,regulatory--yield--g10.29 regulatory--yield--g10,.32 ,1723
3.62879585e+05,5.10849214e+06,1.86124883e+02,regulatory--yield--g10,.36 ,1745
3.62877354e+05,5.10849113e+06,1.86123973e+02,regulatory--yield--g10,.36 ,1746
3.62875184e+05,5.10848994e+06,1.86113034e+02,regulatory--yield--g10,.29 ,1747
3.62873169e+05,5.10848862e+06,1.86108087e+02,regulatory--yield--g10,.40 ,1748
3.62871365e+05,5.10848722e+06,1.86109667e+02,regulatory--yield--g10,.26 ,1749
3.62869511e+05,5.10848544e+06,1.86106109e+02,regulatory--yield--g10,.42 ,1750
,362868.0113142,,regulatory--yield--g10,.31 ,1751
3.62866642e+05,5.10848179e+06,1.86082592e+02,regulatory--yield--g10,.43 ,1752
3.62865502e+05,5.10847978e+06,1.86068367e+02,regulatory--yield--g10,.50 ,1753
3.62864698e+05,5.10847758e+06,1.86047500e+02,regulatory--yield--g10,.52 ,1754
3.62864031e+05,5.10847518e+06,1.86026922e+02,regulatory--yield--g10,.57 ,1755
3.62865240e+05,5.10847297e+06,1.85963508e+02,regulatory--roundabout--g10.26 regulatory--roundabout--g10.27 regulatory--yield--g10,.47 ,1756
3.62865240e+05,5.10847297e+06,1.85963508e+02,regulatory--roundabout--g10.26 regulatory--roundabout--g10.27 regulatory--yield--g10,.47 ,1756
3.62865240e+05,5.10847297e+06,1.85963508e+02,regulatory--roundabout--g10.26 regulatory--roundabout--g10.27 regulatory--yield--g10,.47 ,1756
3.62864693e+05,5.10846925e+06,1.85974648e+02,regulatory--yield--g10,.54 ,1757
3.62800621e+05,5.10830996e+06,1.85472614e+02,regulatory--keep-right--g10,.32 ,1848
3.62799441e+05,5.10830935e+06,1.85457479e+02,regulatory--keep-right--g10,.36 ,1849
3.62796288e+05,5.10830424e+06,1.85475020e+02,regulatory--yield--g10.32 regulatory--yield--g10,.43 ,1850
3.62796288e+05,5.10830424e+06,1.85475020e+02,regulatory--yield--g10.32 regulatory--yield--g10,.43 ,1850
3.62794864e+05,5.10830287e+06,1.85471537e+02,regulatory--yield--g10.34 regulatory--yield--g10,.37 ,1851
3.62794864e+05,5.10830287e+06,1.85471537e+02,regulatory--yield--g10.34 regulatory--yield--g10,.37 ,1851
3.62794315e+05,5.10829889e+06,1.85434457e+02,regulatory--yield--g10.33 regulatory--yield--g10,.52 ,1852
3.62794315e+05,5.10829889e+06,1.85434457e+02,regulatory--yield--g10.33 regulatory--yield--g10,.52 ,1852
3.62791727e+05,5.10830042e+06,1.85438714e+02,regulatory--yield--g10.33 regulatory--yield--g10,.40 ,1853
3.62791727e+05,5.10830042e+06,1.85438714e+02,regulatory--yield--g10.33 regulatory--yield--g10,.40 ,1853
3.62789975e+05,5.10829930e+06,1.85409155e+02,regulatory--yield--g10.37 regulatory--yield--g10,.61 ,1854
3.62789975e+05,5.10829930e+06,1.85409155e+02,regulatory--yield--g10.37 regulatory--yield--g10,.61 ,1854
3.62787996e+05,5.10829829e+06,1.85386946e+02,regulatory--yield--g10.40 regulatory--yield--g10,.42 ,1855
3.62787996e+05,5.10829829e+06,1.85386946e+02,regulatory--yield--g10.40 regulatory--yield--g10,.42 ,1855
3.62788414e+05,5.10829142e+06,1.85353144e+02,regulatory--roundabout--g10.27 regulatory--yield--g10,.50 ,1856
3.62788414e+05,5.10829142e+06,1.85353144e+02,regulatory--roundabout--g10.27 regulatory--yield--g10,.50 ,1856
nan,nan,nan,regulatory--yield--g10,.43 ,1857
